山东,#genre#
淄博影视,http://144.255.31.236:6688/udp/239.21.1.182:5002
潍坊新闻综合,http://1.94.31.214/php/qilu.php?id=wfxwzh
潍坊经济生活,http://144.255.31.236:6688/udp/239.21.1.78:5002
潍坊影视,http://1.94.31.214/php/qilu.php?id=wfyswy
寿光蔬菜,http://144.255.31.236:6688/udp/239.21.1.218:5002
潍坊高新区,http://1.94.31.214/php/qilu.php?id=wfgxq
济宁综合,http://144.255.31.236:6688/udp/239.21.2.19:5002
济宁公共,http://144.255.31.236:6688/udp/239.21.2.20:5002
东平综合,http://1.94.31.214/php/qilu.php?id=tadpzh
日照新闻,http://144.255.31.236:6688/udp/239.21.1.79:5002
日照科教,http://144.255.31.236:6688/udp/239.21.1.80:5002
日照岚山,http://144.255.31.236:6688/udp/239.21.1.209:5002
德州新闻综合,http://1.94.31.214/php/qilu.php?id=dzxwzh
德州经济生活,http://1.94.31.214/php/qilu.php?id=dzjjsh
聊城综合,http://144.255.31.236:6688/udp/239.21.1.253:5002
聊城民生,http://144.255.31.236:6688/udp/239.21.1.254:5002
莘县综合,http://1.94.31.214/php/qilu.php?id=lcsxzh
滨州综合,http://144.255.31.236:6688/udp/239.21.1.238:5002
单县综合,http://1.94.31.214/php/qilu.php?id=hzsxzh
巨野新闻,http://1.94.31.214/php/qilu.php?id=hzjyxw
郓城新闻,http://1.94.31.214/php/qilu.php?id=hzycxw
沂源新闻,http://144.255.31.236:6688/udp/239.21.1.114:5002
商河综合,http://1.94.31.214/php/qilu.php?id=jnshzh
惠民综合,http://1.94.31.214/php/qilu.php?id=bzhmzh
长清新闻,http://1.94.31.214/php/qilu.php?id=jncqxw
桓台综合,http://1.94.31.214/php/qilu.php?id=zbht1
桓台综合,http://144.255.31.236:6688/udp/239.21.1.105:5002
无棣综合,http://1.94.31.214/php/qilu.php?id=bzwdzh
无棣综合,http://144.255.31.236:6688/udp/239.21.1.214:5002
新泰乡村,http://1.94.31.214/php/qilu.php?id=taxtxc
济阳综合,http://1.94.31.214/php/qilu.php?id=jnjyzh
济阳综合,http://144.255.31.236:6688/udp/239.21.1.187:5002
蒙阴综合,http://1.94.31.214/php/qilu.php?id=lymy1
蒙阴综合,http://144.255.31.236:6688/udp/239.21.2.23:5002
沾化综合,http://144.255.31.236:6688/udp/239.21.1.226:5002
冠县综合,http://144.255.31.236:6688/udp/239.21.1.250:5002
青州综合,http://1.94.31.214/php/qilu.php?id=wfqzzh
青州综合,http://144.255.31.236:6688/udp/239.21.1.232:5002
乳山综合,http://1.94.31.214/php/qilu.php?id=whrszh
乳山综合,http://144.255.31.236:6688/udp/239.21.1.220:5002
平阴综合,http://1.94.31.214/php/qilu.php?id=jnpyzh
平阴综合,http://144.255.31.236:6688/udp/239.21.1.221:5002
兖州新闻,http://1.94.31.214/php/qilu.php?id=jiyzxw
兖州新闻,http://144.255.31.236:6688/udp/239.21.1.224:5002
荣成综合,http://1.94.31.214/php/qilu.php?id=whrczh
栖霞综合,http://1.94.31.214/php/qilu.php?id=ytqxzh
栖霞综合,http://144.255.31.236:6688/udp/239.21.1.229:5002
齐河新闻,http://144.255.31.236:6688/udp/239.21.1.230:5002
禹城综合,http://1.94.31.214/php/qilu.php?id=dzyczh
禹城综合,http://144.255.31.236:6688/udp/239.21.1.241:5002
禹城综艺,http://1.94.31.214/php/qilu.php?id=dzyczy
夏津综合,http://1.94.31.214/php/qilu.php?id=dzxjzh
夏津综合,http://144.255.31.236:6688/udp/239.21.1.106:5002
夏津公共,http://1.94.31.214/php/qilu.php?id=dzxjgg
夏津公共,http://144.255.31.236:6688/udp/239.21.1.102:5002
牟平新闻,http://144.255.31.236:6688/udp/239.21.2.10:5002
淄川新闻,http://1.94.31.214/php/qilu.php?id=zbzcxw
安丘综合,http://1.94.31.214/php/qilu.php?id=wfaqzh
河东综合,http://1.94.31.214/php/qilu.php?id=lyhdzh
鱼台生活,http://1.94.31.214/php/qilu.php?id=jiytsh
沂水综合,http://1.94.31.214/php/qilu.php?id=lyys1
东阿综合,http://1.94.31.214/php/qilu.php?id=lcdezh
海洋频道,http://39.77.158.228:4002/rtp/239.253.254.67:8000
海洋频道,http://39.77.26.135:4002/rtp/239.253.254.67:8000
海洋频道,http://39.77.24.219:4002/rtp/239.253.254.67:8000
海洋频道,http://39.77.27.90:4002/rtp/239.253.254.67:8000
海洋频道,http://39.77.159.240:4002/rtp/239.253.254.67:8000

🕘️更新时间,#genre#
2026-06-17 21:03:00,http://192.151.150.154/live/sdwshd.m3u8
