轮播频道,#genre#
还珠格格,http://39.153.130.167:35455/huya/30080241
创世纪,http://39.153.130.167:35455/huya/29465852
笑傲江湖,http://39.153.130.167:35455/huya/26355790
倚天屠龙记,http://39.153.130.167:35455/huya/11342403
雪山飞狐,http://39.153.130.167:35455/huya/23734176
沈腾电影,http://39.153.130.167:35455/huya/11601968
黄渤电影,http://39.153.130.167:35455/huya/11352876
徐峥电影,http://39.153.130.167:35455/huya/11602043
周星驰电影,http://39.153.130.167:35455/huya/11342412

亮剑,http://live.ottiptv.cc/huya/30080238
民兵葛二蛋,http://live.ottiptv.cc/huya/11602072
鹿鼎记,http://live.ottiptv.cc/huya/23650774
新鹿鼎记,http://live.ottiptv.cc/huya/11342388
三国演义,http://live.ottiptv.cc/huya/11602081
新三国演义,http://live.ottiptv.cc/huya/11352944
水浒传,http://live.ottiptv.cc/huya/26355860
新水浒传,http://live.ottiptv.cc/huya/11342384
西游记,http://live.ottiptv.cc/huya/20985836
封神榜,http://live.ottiptv.cc/huya/20432237
寻秦记,http://live.ottiptv.cc/huya/30080146
大宋提刑官,http://live.ottiptv.cc/huya/26355856
家有儿女,http://live.ottiptv.cc/huya/11352872
问心,http://live.ottiptv.cc/huya/11352890
你是我的荣耀,http://live.ottiptv.cc/huya/11352920
与凤行,http://live.ottiptv.cc/huya/26355866
我和僵尸有个约会,http://live.ottiptv.cc/huya/21059571
美人心计,http://live.ottiptv.cc/huya/26355837
延禧攻略,http://live.ottiptv.cc/huya/26355864
读心专家,http://live.ottiptv.cc/huya/30590779
如懿传,http://live.ottiptv.cc/huya/29465868
爱情公寓,http://live.ottiptv.cc/huya/11336726
还珠格格,http://live.ottiptv.cc/huya/30080241
创世纪,http://live.ottiptv.cc/huya/29465852
笑傲江湖,http://live.ottiptv.cc/huya/26355790
倚天屠龙记,http://live.ottiptv.cc/huya/11342403
雪山飞狐,http://live.ottiptv.cc/huya/23734176
沈腾电影,http://live.ottiptv.cc/huya/11601968
黄渤电影,http://live.ottiptv.cc/huya/11352876
徐峥电影,http://live.ottiptv.cc/huya/11602043
周星驰电影,http://live.ottiptv.cc/huya/11342412

林正英电影,http://8.155.43.98:35455/yy/1351505899
狂飙,http://8.155.43.98:35455/yy/1354936131
插翅难逃,http://8.155.43.98:35455/yy/23402146
新白娘子传奇,http://8.155.43.98:35455/yy/1354490667
康熙微服私访记,http://8.155.43.98:35455/yy/1352811698
射雕英雄传83版,http://8.155.43.98:35455/yy/1354210357
神雕侠侣,http://8.155.43.98:35455/yy/1351762426
天龙八部,http://8.155.43.98:35455/yy/1351814644
隋唐英雄传,http://8.155.43.98:35455/yy/1352475619

林正英电影,http://222.186.39.21:35466/yy/1351505899
狂飙,http://222.186.39.21:35466/yy/1354936131
插翅难逃,http://222.186.39.21:35466/yy/23402146
新白娘子传奇,http://222.186.39.21:35466/yy/1354490667
康熙微服私访记,http://222.186.39.21:35466/yy/1352811698
射雕英雄传83版,http://222.186.39.21:35466/yy/1354210357
神雕侠侣,http://222.186.39.21:35466/yy/1351762426
天龙八部,http://222.186.39.21:35466/yy/1351814644
隋唐英雄传,http://222.186.39.21:35466/yy/1352475619

林正英电影,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1351505899
狂飙,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1354936131
插翅难逃,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/23402146
新白娘子传奇,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1354490667
康熙微服私访记,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1352811698
射雕英雄传83版,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1354210357
神雕侠侣,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1351762426
天龙八部,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1351814644
隋唐英雄传,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1352475619

林正英电影,http://live.ottiptv.cc/yy/1351505899
狂飙,http://live.ottiptv.cc/yy/1354936131
插翅难逃,http://live.ottiptv.cc/yy/23402146
新白娘子传奇,http://live.ottiptv.cc/yy/1354490667
康熙微服私访记,http://live.ottiptv.cc/yy/1352811698
射雕英雄传83版,http://live.ottiptv.cc/yy/1354210357
神雕侠侣,http://live.ottiptv.cc/yy/1351762426
天龙八部,http://live.ottiptv.cc/yy/1351814644
隋唐英雄传,http://live.ottiptv.cc/yy/1352475619
超精彩武打场景,https://live.ottiptv.cc/yy/1354936131
举起手来-惊险抗日,https://live.ottiptv.cc/yy/1382736877
地下交通站,https://live.ottiptv.cc/yy/1382736795
正阳门下,https://live.ottiptv.cc/yy/1354931580
终结者2：审判日,https://live.ottiptv.cc/yy/1382851148
papi酱主演，北漂生活中的爱情与梦想,https://live.ottiptv.cc/yy/1382745124
无双花木兰,https://live.ottiptv.cc/yy/1382749917
王牌保镖在此,https://live.ottiptv.cc/yy/1382749913
女医明妃传,https://live.ottiptv.cc/yy/1382736861
绝对让你笑翻天！,https://live.ottiptv.cc/yy/1354936159
鹿鼎记-周星驰版,https://live.ottiptv.cc/yy/1354658049
震撼！国内功夫大片,https://live.ottiptv.cc/yy/1382736902
神探狄仁杰2,https://live.ottiptv.cc/yy/1382828767
宰相刘罗锅,https://live.ottiptv.cc/yy/1382745191
欢乐集结号-每天笑不停,https://live.ottiptv.cc/yy/1382741642
丸子,https://live.ottiptv.cc/yy/1382851588
少年包青天第三部,https://live.ottiptv.cc/yy/1382736814
神探狄仁杰2,https://live.ottiptv.cc/yy/1382851146
三国演义94年经典版,https://live.ottiptv.cc/yy/1354936241
内在美-伊人有约,https://live.ottiptv.cc/yy/1382737892
宫心计-港剧-古装,https://live.ottiptv.cc/yy/1354933540
暖暖1999,https://live.ottiptv.cc/yy/1382851591
这部剧你居然没看过？,https://live.ottiptv.cc/yy/1354932355
经典大片合集,https://live.ottiptv.cc/yy/1382749895
华子系列,https://live.ottiptv.cc/yy/1354888726
情满四合院-高分电视剧,https://live.ottiptv.cc/yy/1382735541
你最爱的宋小宝,https://live.ottiptv.cc/yy/1354936198
神探狄仁杰1,https://live.ottiptv.cc/yy/1354930934
�逋鞠盗�-国产喜剧,https://live.ottiptv.cc/yy/1382736856
YY用户,https://live.ottiptv.cc/yy/1382736808
恋歌,https://live.ottiptv.cc/yy/1382746276
新白娘子传奇-女神赵雅芝,https://live.ottiptv.cc/yy/1354930969
读心神探,https://live.ottiptv.cc/yy/1382736875
成龙系列,https://live.ottiptv.cc/yy/1354888751
双月之城-国漫,https://live.ottiptv.cc/yy/1382736907
YY用户,https://live.ottiptv.cc/yy/1382736818
国内玄幻电影-林正英,https://live.ottiptv.cc/yy/1354932444
杭小妞,https://live.ottiptv.cc/yy/1382851590
西游记后传,https://live.ottiptv.cc/yy/1382736846
智取威虎山,https://live.ottiptv.cc/yy/1382736843
变形金刚,https://live.ottiptv.cc/yy/1382736803
法证先锋,https://live.ottiptv.cc/yy/1354930939
天道-9.2高分好剧,https://live.ottiptv.cc/yy/1382735574
欢乐颂,https://live.ottiptv.cc/yy/1382735624
开心小泡芙,https://live.ottiptv.cc/yy/1382851578
速度与激情系列！-精彩大片,https://live.ottiptv.cc/yy/1382736911
七色小彩虹,https://live.ottiptv.cc/yy/1382851601
少年包青天第三部,https://live.ottiptv.cc/yy/1382851540
YY用户,https://live.ottiptv.cc/yy/1382736838
恋歌,https://live.ottiptv.cc/yy/1382851594
YY用户,https://live.ottiptv.cc/yy/1382736890
情满四合院,https://live.ottiptv.cc/yy/1382851524
士兵突击,https://live.ottiptv.cc/yy/1382851600
三国演义【1994】,https://live.ottiptv.cc/yy/1354930932
YY用户,https://live.ottiptv.cc/yy/1382736910
流行古装剧—知否知否应是绿肥红瘦,https://live.ottiptv.cc/yy/1354936134
二号交通站,https://live.ottiptv.cc/yy/1354930965
香港院线大片-最新,https://live.ottiptv.cc/yy/1354936242
爆笑小品大合集,https://live.ottiptv.cc/yy/1382736821
你是最美的风景,https://live.ottiptv.cc/yy/1382851599
欢乐集结号,https://live.ottiptv.cc/yy/1354931582
叶问全集,https://live.ottiptv.cc/yy/1382828771
父母爱情,https://live.ottiptv.cc/yy/1354926650
颜值永远在线,https://live.ottiptv.cc/yy/1382851582
国内喜剧,https://live.ottiptv.cc/yy/1382736862
神探狄仁杰1,https://live.ottiptv.cc/yy/1382851575
张国荣与周润发的兄弟情,https://live.ottiptv.cc/yy/1354930961
情满四合院,https://live.ottiptv.cc/yy/1382736848
郝蕾演绎-情满四合院,https://live.ottiptv.cc/yy/1382745089
大家都在看的电视剧,https://live.ottiptv.cc/yy/1354930964
大进军全集：红色系列电影,https://live.ottiptv.cc/yy/1382745083
伪装者,https://live.ottiptv.cc/yy/1354936244
速度与激情全集,https://live.ottiptv.cc/yy/1382749892
妖神记,https://live.ottiptv.cc/yy/1382745171
小惠_郭德纲相声迷,https://live.ottiptv.cc/yy/1382851593
我的体育老师,https://live.ottiptv.cc/yy/1382745169
炊事班的故事III,https://live.ottiptv.cc/yy/1382736716
精武英雄-李连杰主演经典动作片,https://live.ottiptv.cc/yy/1382736873
易中天品三国,https://live.ottiptv.cc/yy/1354931498
YY用户,https://live.ottiptv.cc/yy/1382736885
魔幻手机,https://live.ottiptv.cc/yy/1382735544
纯纯纯儿,https://live.ottiptv.cc/yy/1382851589
二号交通站,https://live.ottiptv.cc/yy/1382735582
夏洛特烦恼-国内电影-喜剧,https://live.ottiptv.cc/yy/1354936201
宫锁珠帘,https://live.ottiptv.cc/yy/1354926666
老广的味道-美食之旅,https://live.ottiptv.cc/yy/1354932375
甜甜的恋爱 这狗粮我吃了,https://live.ottiptv.cc/yy/1354932438
YY用户,https://live.ottiptv.cc/yy/1382735572
妖神记-全集,https://live.ottiptv.cc/yy/1382735551
老广的味道 第3季-美食纪录片,https://live.ottiptv.cc/yy/1382735565
YY用户,https://live.ottiptv.cc/yy/1382745085
洪金宝福星系列,https://live.ottiptv.cc/yy/1354924839
风筝,https://live.ottiptv.cc/yy/1382828770
欢乐颂,https://live.ottiptv.cc/yy/1382851577
YY用户,https://live.ottiptv.cc/yy/1382736886
国内动作大片,https://live.ottiptv.cc/yy/1382745176
穿越时空的爱恋,https://live.ottiptv.cc/yy/1382735567
YY用户,https://live.ottiptv.cc/yy/1382745117
院线动作大片,https://live.ottiptv.cc/yy/1382736900
亲爱的热爱的,https://live.ottiptv.cc/yy/1354932433
无敌县令,https://live.ottiptv.cc/yy/1354932390
非常保镖-经典港剧,https://live.ottiptv.cc/yy/1382736903
欢乐集结号3,https://live.ottiptv.cc/yy/1382736822
漫威十年老粉福利来了,https://live.ottiptv.cc/yy/1354930233
灌篮高手,https://live.ottiptv.cc/yy/1382735626
时光的海,https://live.ottiptv.cc/yy/1382851579
北京爱情故事，心动不打烊,https://live.ottiptv.cc/yy/1382744423
炊事班的故事,https://live.ottiptv.cc/yy/1382749901
大汉贤后卫子夫,https://live.ottiptv.cc/yy/1382735569
寻秦记,https://live.ottiptv.cc/yy/1354658048
超精彩！系列动作电影,https://live.ottiptv.cc/yy/1382745096
电影百团大战,https://live.ottiptv.cc/yy/1382736871
最美的青春,https://live.ottiptv.cc/yy/1382745116
我的前半生,https://live.ottiptv.cc/yy/1382735564
仙剑奇侠传-神仙姐姐驾到,https://live.ottiptv.cc/yy/1382749903
以家人之名,https://live.ottiptv.cc/yy/1382736908
真心想让你幸福,https://live.ottiptv.cc/yy/1382736876
强悍“杀猪婆”的励志人生,https://live.ottiptv.cc/yy/1354658062
欢乐一起看,https://live.ottiptv.cc/yy/1354930926
活力满满,https://live.ottiptv.cc/yy/1382851585
史诗级科幻电影-阿凡达,https://live.ottiptv.cc/yy/1382735577
赌神-发哥,https://live.ottiptv.cc/yy/1354889044
YY用户,https://live.ottiptv.cc/yy/1382745084
熊出没之探险日记S1-国漫,https://live.ottiptv.cc/yy/1354930977
YY用户,https://live.ottiptv.cc/yy/1382735578
笑傲帮,https://live.ottiptv.cc/yy/1382735555
鸭子天空-翱翔于篮球的梦想,https://live.ottiptv.cc/yy/1354930894
巩汉林春晚小品合集,https://live.ottiptv.cc/yy/1354889035
精彩动作电影享不停,https://live.ottiptv.cc/yy/1382736809
小朋友可爱到家了,https://live.ottiptv.cc/yy/1354930887
国产大片电影,https://live.ottiptv.cc/yy/1354926655
哈利波特全集,https://live.ottiptv.cc/yy/1382745105
YY用户,https://live.ottiptv.cc/yy/1382735553
超燃警匪片,https://live.ottiptv.cc/yy/1382735576
小鬼当家-童年回忆,https://live.ottiptv.cc/yy/1382745104
野山鹰-影视剧,https://live.ottiptv.cc/yy/1354932395
叛逆者,https://live.ottiptv.cc/yy/1382736868
密子君,https://live.ottiptv.cc/yy/1382736717
0,https://live.ottiptv.cc/yy/1382851580
陈情令,https://live.ottiptv.cc/yy/1382745121
猩球崛起-怪兽片合集,https://live.ottiptv.cc/yy/1354930181
魔幻手机,https://live.ottiptv.cc/yy/1382851541
复仇者联盟全季,https://live.ottiptv.cc/yy/1354936167
YY用户,https://live.ottiptv.cc/yy/1382736888
寻秦记-穿越剧经典,https://live.ottiptv.cc/yy/1382749900
你的回忆有我吗,https://live.ottiptv.cc/yy/1354889024
苦乐村官,https://live.ottiptv.cc/yy/1382736864
周星星系列,https://live.ottiptv.cc/yy/1354888671
粟裕大将-影视,https://live.ottiptv.cc/yy/1354926542
我爱我家,https://live.ottiptv.cc/yy/1382735557
YY用户,https://live.ottiptv.cc/yy/1382736805
侏罗纪世界-国外科幻大片合集,https://live.ottiptv.cc/yy/1382736851
海洋幻梦-泰剧,https://live.ottiptv.cc/yy/1382749889
Blingbling,https://live.ottiptv.cc/yy/1382851598
本山快乐营,https://live.ottiptv.cc/yy/1354933529
保护我家蓉儿,https://live.ottiptv.cc/yy/1370293254
YY用户,https://live.ottiptv.cc/yy/1382736975
动作大片-热血开打,https://live.ottiptv.cc/yy/1354936168
高分科幻动作片,https://live.ottiptv.cc/yy/1382749948
俺娘田小草,https://live.ottiptv.cc/yy/1382741638
新世界,https://live.ottiptv.cc/yy/1382736850
欢乐集结号,https://live.ottiptv.cc/yy/1382735550
人生必看的科幻片,https://live.ottiptv.cc/yy/1382745114
YY用户,https://live.ottiptv.cc/yy/1382745093
啊咧,https://live.ottiptv.cc/yy/1459243913
功夫小子进城,https://live.ottiptv.cc/yy/1382749890
加勒比海盗系列,https://live.ottiptv.cc/yy/1382749914
飞虎之潜行极战,https://live.ottiptv.cc/yy/1354932420
YY用户,https://live.ottiptv.cc/yy/1382736842
大明王朝,https://live.ottiptv.cc/yy/1382736879
中国味道 第4季-美食纪录片,https://live.ottiptv.cc/yy/1382736845
无厘头的出处,https://live.ottiptv.cc/yy/1354930891
重生之超级赛亚人,https://live.ottiptv.cc/yy/1354936124
YY用户,https://live.ottiptv.cc/yy/1382736834
金玉满堂：精彩港剧,https://live.ottiptv.cc/yy/1382736881
国外院线动作大片,https://live.ottiptv.cc/yy/1382735570
辉煌或疯狂-韩剧,https://live.ottiptv.cc/yy/1382749902
笑傲江湖 第1季,https://live.ottiptv.cc/yy/1382749896
科幻片：来看神奇的地球,https://live.ottiptv.cc/yy/1354930897
爆笑电影！王牌大贱谍2-3,https://live.ottiptv.cc/yy/1382735556
来自星星的你,https://live.ottiptv.cc/yy/1354930976
笑傲江湖 第2季,https://live.ottiptv.cc/yy/1382736914
回家的诱惑,https://live.ottiptv.cc/yy/1354658043
黑衣人1、2—动作喜剧大片,https://live.ottiptv.cc/yy/1354930936
陪你一起看好剧,https://live.ottiptv.cc/yy/1354932359
本山快乐营-爆笑小品,https://live.ottiptv.cc/yy/1354930948
高分动作大片-热血出击,https://live.ottiptv.cc/yy/1382736909
美国队长史蒂夫,https://live.ottiptv.cc/yy/1382736813
法国版《家有儿女》治愈所有不开心,https://live.ottiptv.cc/yy/1382851137
国产喜剧,https://live.ottiptv.cc/yy/1382735584
大唐双龙传,https://live.ottiptv.cc/yy/1354930979
钟馗传说,https://live.ottiptv.cc/yy/1382736839
国内高分悬疑剧-风筝,https://live.ottiptv.cc/yy/1354931585
金牌配角达叔系列,https://live.ottiptv.cc/yy/1354888728
萌鸡小队S1-国漫,https://live.ottiptv.cc/yy/1382736904
大江大河2-高分影视推荐,https://live.ottiptv.cc/yy/1382736797
田园生活,https://live.ottiptv.cc/yy/1382736898
第8号当铺,https://live.ottiptv.cc/yy/1382736905
公主嫁到,https://live.ottiptv.cc/yy/1382736915
国内经典动作电影,https://live.ottiptv.cc/yy/1382851522
末日系列-外国电影合集,https://live.ottiptv.cc/yy/1354889019
精彩动作电影,https://live.ottiptv.cc/yy/1382736823
港剧-警犬巴打,https://live.ottiptv.cc/yy/1354932397
国内科幻片来袭,https://live.ottiptv.cc/yy/1354930821
深海利剑,https://live.ottiptv.cc/yy/1382736906
国外黑色喜剧：冷幽默小剧场,https://live.ottiptv.cc/yy/1382745175
YY用户,https://live.ottiptv.cc/yy/1382745113
电影黑豹,https://live.ottiptv.cc/yy/1382736816
缺宅男女,https://live.ottiptv.cc/yy/1354930937
永远的经典系列,https://live.ottiptv.cc/yy/1354930204
明天和你-韩剧,https://live.ottiptv.cc/yy/1382749905
许多多,https://live.ottiptv.cc/yy/1382851583
飓风营救,https://live.ottiptv.cc/yy/1382735547
外国科幻大片,https://live.ottiptv.cc/yy/1382747628
国外动作大片,https://live.ottiptv.cc/yy/1382735540
宝莲灯前传,https://live.ottiptv.cc/yy/1354931631
燃爆动作片,https://live.ottiptv.cc/yy/1382736801
躺平还是奋斗？搞笑中见真谛,https://live.ottiptv.cc/yy/1382851586
嘻嘻熙熙,https://live.ottiptv.cc/yy/1382735585
最美的青春,https://live.ottiptv.cc/yy/1382851530
国外经典—小鬼当家,https://live.ottiptv.cc/yy/1354658064
国内喜剧,https://live.ottiptv.cc/yy/1382735563
请回答1988,https://live.ottiptv.cc/yy/1354932362
少年四大名捕,https://live.ottiptv.cc/yy/1354936203
国外高分大片,https://live.ottiptv.cc/yy/1382736867
毒液：致命守护者,https://live.ottiptv.cc/yy/1382745095
神厨小福贵,https://live.ottiptv.cc/yy/1382736860
缺宅男女-精彩港剧,https://live.ottiptv.cc/yy/1382745088
YY用户,https://live.ottiptv.cc/yy/1382736807
流金岁月-经典港剧,https://live.ottiptv.cc/yy/1382736891
憨豆先生-经典喜剧,https://live.ottiptv.cc/yy/1354936239
战争与女性,https://live.ottiptv.cc/yy/1382745179
能耐大了第1季,https://live.ottiptv.cc/yy/1354930195
国外科幻,https://live.ottiptv.cc/yy/1382736800
我的父亲我的兵,https://live.ottiptv.cc/yy/1353413714
大江大河-高分影视推荐,https://live.ottiptv.cc/yy/1382736806
国产电影-就是闹着玩的,https://live.ottiptv.cc/yy/1354931503
晨晨的影视小窝,https://live.ottiptv.cc/yy/1382851576
洪大哥系列,https://live.ottiptv.cc/yy/1354888743
热门喜剧,https://live.ottiptv.cc/yy/1354931495
百家讲坛――之明太祖朱元璋,https://live.ottiptv.cc/yy/1354936149
YY用户,https://live.ottiptv.cc/yy/1382745103
珍珠港-电影,https://live.ottiptv.cc/yy/1354936234
福贵,https://live.ottiptv.cc/yy/1354926537
科幻惊悚片-异形,https://live.ottiptv.cc/yy/1382735543
单挑荒野第一季,https://live.ottiptv.cc/yy/1354933535
舌尖上的中国第2季,https://live.ottiptv.cc/yy/1354930943
从溺水到冠军，热血泳坛励志传奇,https://live.ottiptv.cc/yy/1382736723
超炫科幻大片,https://live.ottiptv.cc/yy/1382736840
欢乐集结号2,https://live.ottiptv.cc/yy/1354930919
欢乐集结号4,https://live.ottiptv.cc/yy/1382736889
动物世界-领略原始野性,https://live.ottiptv.cc/yy/1382743138
欢喜冤家的爱情-夏日乐悠悠,https://live.ottiptv.cc/yy/1354936191
本山选谁上-喜剧人选拔,https://live.ottiptv.cc/yy/1382749878
农家小菜,https://live.ottiptv.cc/yy/1382736894
欢乐集结号58-70,https://live.ottiptv.cc/yy/1382745119
妖神记之黑狱篇,https://live.ottiptv.cc/yy/1382745173
河山,https://live.ottiptv.cc/yy/1382749952
溏心风暴之家好月圆,https://live.ottiptv.cc/yy/1354888747
太空荒野求生记-火星救援,https://live.ottiptv.cc/yy/1354930957
贾玲春晚小品,https://live.ottiptv.cc/yy/1382736720
科幻电影,https://live.ottiptv.cc/yy/1354930209
来看修牛蹄,https://live.ottiptv.cc/yy/1382749887
拳拳到肉，搏击燃情,https://live.ottiptv.cc/yy/1382736870
哑巴竟然会说话,https://live.ottiptv.cc/yy/1354932427
蔡明春晚小品,https://live.ottiptv.cc/yy/1354936177
抗日神片，燃爆抗战热血魂,https://live.ottiptv.cc/yy/1354926600
一起来笑吧,https://live.ottiptv.cc/yy/1454859415
YY用户,https://live.ottiptv.cc/yy/1382735579
舌尖上的中国第一季,https://live.ottiptv.cc/yy/1354930952
发哥系列,https://live.ottiptv.cc/yy/1354888733
宋小宝春晚小品合集,https://live.ottiptv.cc/yy/1382736866
百家讲坛-红楼梦篇,https://live.ottiptv.cc/yy/1382741639
YY用户,https://live.ottiptv.cc/yy/1382736918
抹茶少女,https://live.ottiptv.cc/yy/1382737888
机械战警1-3,https://live.ottiptv.cc/yy/1382736854
YY用户,https://live.ottiptv.cc/yy/1382736887
远去的飞鹰-影视剧,https://live.ottiptv.cc/yy/1354930912
电视剧-流金岁月,https://live.ottiptv.cc/yy/1382749906
致敬星爷致敬经典,https://live.ottiptv.cc/yy/1354889048
高分动作片——创可贴,https://live.ottiptv.cc/yy/1382735568
本山快乐营1,https://live.ottiptv.cc/yy/1354936209
少年包青天美黑之旅,https://live.ottiptv.cc/yy/1354936141
热血少年上线，《长歌行》开播,https://live.ottiptv.cc/yy/1382736802
大台风,https://live.ottiptv.cc/yy/1382735583
搬山道人之落天荒,https://live.ottiptv.cc/yy/1382736916
洪金宝福星系列,https://live.ottiptv.cc/yy/1382851602
紧急营救,https://live.ottiptv.cc/yy/1354926676
一分钟学道菜,https://live.ottiptv.cc/yy/1382736901
辣警狂花2,https://live.ottiptv.cc/yy/1382745110
渴望,https://live.ottiptv.cc/yy/1354930963
超英集结,https://live.ottiptv.cc/yy/1382745091
银河护卫队-国外科幻巨作,https://live.ottiptv.cc/yy/1382736815
白领被迫当楼奴？,https://live.ottiptv.cc/yy/1382736832
国产家庭电视剧-如果岁月可回头,https://live.ottiptv.cc/yy/1382736883
带你领略四季的变化,https://live.ottiptv.cc/yy/1354930816
施公奇案2-欧阳震华,https://live.ottiptv.cc/yy/1382736824
名媛望族-精彩港剧,https://live.ottiptv.cc/yy/1354932431
辣警狂花,https://live.ottiptv.cc/yy/1382736892
高能博弈—大事件,https://live.ottiptv.cc/yy/1382749898
碟中谍系列电影,https://live.ottiptv.cc/yy/1382736836
另类猪妖爆笑逆袭,https://live.ottiptv.cc/yy/1354936155
忠诚无畏，战犬出击,https://live.ottiptv.cc/yy/1354930225
超燃科幻大片：明日边缘,https://live.ottiptv.cc/yy/1382736835
霹雳火：速度与激情,https://live.ottiptv.cc/yy/1382736895
学生兵,https://live.ottiptv.cc/yy/1354658003
影视小艺,https://live.ottiptv.cc/yy/1382737886
名不虚传-韩剧,https://live.ottiptv.cc/yy/1382749904
本山快乐营2,https://live.ottiptv.cc/yy/1382736718
狄仁杰智破红瞳谜案,https://live.ottiptv.cc/yy/1354936116
